#1
double tab(8761, 2)
# time	T_room
22597200	21.0
22600800	21.0
22604400	21.0
22608000	21.0
22611600	21.0
22615200	21.0
22618800	21.0
22622400	17.0
22626000	17.0
22629600	17.0
22633200	17.0
22636800	17.0
22640400	17.0
22644000	17.0
22647600	17.0
22651200	17.0
22654800	17.0
22658400	21.0
22662000	21.0
22665600	21.0
22669200	21.0
22672800	21.0
22676400	21.0
22680000	21.0
22683600	21.0
22687200	21.0
22690800	21.0
22694400	21.0
22698000	21.0
22701600	21.0
22705200	21.0
22708800	17.0
22712400	17.0
22716000	17.0
22719600	17.0
22723200	17.0
22726800	17.0
22730400	17.0
22734000	17.0
22737600	17.0
22741200	17.0
22744800	21.0
22748400	21.0
22752000	21.0
22755600	21.0
22759200	21.0
22762800	21.0
22766400	21.0
22770000	21.0
22773600	21.0
22777200	21.0
22780800	21.0
22784400	21.0
22788000	21.0
22791600	21.0
22795200	17.0
22798800	17.0
22802400	17.0
22806000	17.0
22809600	17.0
22813200	17.0
22816800	17.0
22820400	17.0
22824000	17.0
22827600	17.0
22831200	21.0
22834800	21.0
22838400	21.0
22842000	21.0
22845600	21.0
22849200	21.0
22852800	21.0
22856400	21.0
22860000	21.0
22863600	21.0
22867200	21.0
22870800	21.0
22874400	21.0
22878000	21.0
22881600	17.0
22885200	17.0
22888800	17.0
22892400	17.0
22896000	17.0
22899600	17.0
22903200	17.0
22906800	17.0
22910400	17.0
22914000	17.0
22917600	21.0
22921200	21.0
22924800	21.0
22928400	21.0
22932000	21.0
22935600	21.0
22939200	21.0
22942800	21.0
22946400	21.0
22950000	21.0
22953600	21.0
22957200	21.0
22960800	21.0
22964400	21.0
22968000	17.0
22971600	17.0
22975200	17.0
22978800	17.0
22982400	17.0
22986000	17.0
22989600	17.0
22993200	17.0
22996800	17.0
23000400	17.0
23004000	21.0
23007600	21.0
23011200	21.0
23014800	21.0
23018400	21.0
23022000	21.0
23025600	21.0
23029200	21.0
23032800	21.0
23036400	21.0
23040000	21.0
23043600	21.0
23047200	21.0
23050800	21.0
23054400	17.0
23058000	17.0
23061600	17.0
23065200	17.0
23068800	17.0
23072400	17.0
23076000	17.0
23079600	17.0
23083200	17.0
23086800	17.0
23090400	21.0
23094000	21.0
23097600	21.0
23101200	21.0
23104800	21.0
23108400	21.0
23112000	21.0
23115600	21.0
23119200	21.0
23122800	21.0
23126400	21.0
23130000	21.0
23133600	21.0
23137200	21.0
23140800	17.0
23144400	17.0
23148000	17.0
23151600	17.0
23155200	17.0
23158800	17.0
23162400	17.0
23166000	17.0
23169600	17.0
23173200	17.0
23176800	21.0
23180400	21.0
23184000	21.0
23187600	21.0
23191200	21.0
23194800	21.0
23198400	21.0
23202000	21.0
23205600	21.0
23209200	21.0
23212800	21.0
23216400	21.0
23220000	21.0
23223600	21.0
23227200	17.0
23230800	17.0
23234400	17.0
23238000	17.0
23241600	17.0
23245200	17.0
23248800	17.0
23252400	17.0
23256000	17.0
23259600	17.0
23263200	21.0
23266800	21.0
23270400	21.0
23274000	21.0
23277600	21.0
23281200	21.0
23284800	21.0
23288400	21.0
23292000	21.0
23295600	21.0
23299200	21.0
23302800	21.0
23306400	21.0
23310000	21.0
23313600	17.0
23317200	17.0
23320800	17.0
23324400	17.0
23328000	17.0
23331600	17.0
23335200	17.0
23338800	17.0
23342400	17.0
23346000	17.0
23349600	21.0
23353200	21.0
23356800	21.0
23360400	21.0
23364000	21.0
23367600	21.0
23371200	21.0
23374800	21.0
23378400	21.0
23382000	21.0
23385600	21.0
23389200	21.0
23392800	21.0
23396400	21.0
23400000	17.0
23403600	17.0
23407200	17.0
23410800	17.0
23414400	17.0
23418000	17.0
23421600	17.0
23425200	17.0
23428800	17.0
23432400	17.0
23436000	21.0
23439600	21.0
23443200	21.0
23446800	21.0
23450400	21.0
23454000	21.0
23457600	21.0
23461200	21.0
23464800	21.0
23468400	21.0
23472000	21.0
23475600	21.0
23479200	21.0
23482800	21.0
23486400	17.0
23490000	17.0
23493600	17.0
23497200	17.0
23500800	17.0
23504400	17.0
23508000	17.0
23511600	17.0
23515200	17.0
23518800	17.0
23522400	21.0
23526000	21.0
23529600	21.0
23533200	21.0
23536800	21.0
23540400	21.0
23544000	21.0
23547600	21.0
23551200	21.0
23554800	21.0
23558400	21.0
23562000	21.0
23565600	21.0
23569200	21.0
23572800	17.0
23576400	17.0
23580000	17.0
23583600	17.0
23587200	17.0
23590800	17.0
23594400	17.0
23598000	17.0
23601600	17.0
23605200	17.0
23608800	21.0
23612400	21.0
23616000	21.0
23619600	21.0
23623200	21.0
23626800	21.0
23630400	21.0
23634000	21.0
23637600	21.0
23641200	21.0
23644800	21.0
23648400	21.0
23652000	21.0
23655600	21.0
23659200	17.0
23662800	17.0
23666400	17.0
23670000	17.0
23673600	17.0
23677200	17.0
23680800	17.0
23684400	17.0
23688000	17.0
23691600	17.0
23695200	21.0
23698800	21.0
23702400	21.0
23706000	21.0
23709600	21.0
23713200	21.0
23716800	21.0
23720400	21.0
23724000	21.0
23727600	21.0
23731200	21.0
23734800	21.0
23738400	21.0
23742000	21.0
23745600	17.0
23749200	17.0
23752800	17.0
23756400	17.0
23760000	17.0
23763600	17.0
23767200	17.0
23770800	17.0
23774400	17.0
23778000	17.0
23781600	21.0
23785200	21.0
23788800	21.0
23792400	21.0
23796000	21.0
23799600	21.0
23803200	21.0
23806800	21.0
23810400	21.0
23814000	21.0
23817600	21.0
23821200	21.0
23824800	21.0
23828400	21.0
23832000	17.0
23835600	17.0
23839200	17.0
23842800	17.0
23846400	17.0
23850000	17.0
23853600	17.0
23857200	17.0
23860800	17.0
23864400	17.0
23868000	21.0
23871600	21.0
23875200	21.0
23878800	21.0
23882400	21.0
23886000	21.0
23889600	21.0
23893200	21.0
23896800	21.0
23900400	21.0
23904000	21.0
23907600	21.0
23911200	21.0
23914800	21.0
23918400	17.0
23922000	17.0
23925600	17.0
23929200	17.0
23932800	17.0
23936400	17.0
23940000	17.0
23943600	17.0
23947200	17.0
23950800	17.0
23954400	21.0
23958000	21.0
23961600	21.0
23965200	21.0
23968800	21.0
23972400	21.0
23976000	21.0
23979600	21.0
23983200	21.0
23986800	21.0
23990400	21.0
23994000	21.0
23997600	21.0
24001200	21.0
24004800	17.0
24008400	17.0
24012000	17.0
24015600	17.0
24019200	17.0
24022800	17.0
24026400	17.0
24030000	17.0
24033600	17.0
24037200	17.0
24040800	21.0
24044400	21.0
24048000	21.0
24051600	21.0
24055200	21.0
24058800	21.0
24062400	21.0
24066000	21.0
24069600	21.0
24073200	21.0
24076800	21.0
24080400	21.0
24084000	21.0
24087600	21.0
24091200	17.0
24094800	17.0
24098400	17.0
24102000	17.0
24105600	17.0
24109200	17.0
24112800	17.0
24116400	17.0
24120000	17.0
24123600	17.0
24127200	21.0
24130800	21.0
24134400	21.0
24138000	21.0
24141600	21.0
24145200	21.0
24148800	21.0
24152400	21.0
24156000	21.0
24159600	21.0
24163200	21.0
24166800	21.0
24170400	21.0
24174000	21.0
24177600	17.0
24181200	17.0
24184800	17.0
24188400	17.0
24192000	17.0
24195600	17.0
24199200	17.0
24202800	17.0
24206400	17.0
24210000	17.0
24213600	21.0
24217200	21.0
24220800	21.0
24224400	21.0
24228000	21.0
24231600	21.0
24235200	21.0
24238800	21.0
24242400	21.0
24246000	21.0
24249600	21.0
24253200	21.0
24256800	21.0
24260400	21.0
24264000	17.0
24267600	17.0
24271200	17.0
24274800	17.0
24278400	17.0
24282000	17.0
24285600	17.0
24289200	17.0
24292800	17.0
24296400	17.0
24300000	21.0
24303600	21.0
24307200	21.0
24310800	21.0
24314400	21.0
24318000	21.0
24321600	21.0
24325200	21.0
24328800	21.0
24332400	21.0
24336000	21.0
24339600	21.0
24343200	21.0
24346800	21.0
24350400	17.0
24354000	17.0
24357600	17.0
24361200	17.0
24364800	17.0
24368400	17.0
24372000	17.0
24375600	17.0
24379200	17.0
24382800	17.0
24386400	21.0
24390000	21.0
24393600	21.0
24397200	21.0
24400800	21.0
24404400	21.0
24408000	21.0
24411600	21.0
24415200	21.0
24418800	21.0
24422400	21.0
24426000	21.0
24429600	21.0
24433200	21.0
24436800	17.0
24440400	17.0
24444000	17.0
24447600	17.0
24451200	17.0
24454800	17.0
24458400	17.0
24462000	17.0
24465600	17.0
24469200	17.0
24472800	21.0
24476400	21.0
24480000	21.0
24483600	21.0
24487200	21.0
24490800	21.0
24494400	21.0
24498000	21.0
24501600	21.0
24505200	21.0
24508800	21.0
24512400	21.0
24516000	21.0
24519600	21.0
24523200	17.0
24526800	17.0
24530400	17.0
24534000	17.0
24537600	17.0
24541200	17.0
24544800	17.0
24548400	17.0
24552000	17.0
24555600	17.0
24559200	21.0
24562800	21.0
24566400	21.0
24570000	21.0
24573600	21.0
24577200	21.0
24580800	21.0
24584400	21.0
24588000	21.0
24591600	21.0
24595200	21.0
24598800	21.0
24602400	21.0
24606000	21.0
24609600	17.0
24613200	17.0
24616800	17.0
24620400	17.0
24624000	17.0
24627600	17.0
24631200	17.0
24634800	17.0
24638400	17.0
24642000	17.0
24645600	21.0
24649200	21.0
24652800	21.0
24656400	21.0
24660000	21.0
24663600	21.0
24667200	21.0
24670800	21.0
24674400	21.0
24678000	21.0
24681600	21.0
24685200	21.0
24688800	21.0
24692400	21.0
24696000	17.0
24699600	17.0
24703200	17.0
24706800	17.0
24710400	17.0
24714000	17.0
24717600	17.0
24721200	17.0
24724800	17.0
24728400	17.0
24732000	21.0
24735600	21.0
24739200	21.0
24742800	21.0
24746400	21.0
24750000	21.0
24753600	21.0
24757200	21.0
24760800	21.0
24764400	21.0
24768000	21.0
24771600	21.0
24775200	21.0
24778800	21.0
24782400	17.0
24786000	17.0
24789600	17.0
24793200	17.0
24796800	17.0
24800400	17.0
24804000	17.0
24807600	17.0
24811200	17.0
24814800	17.0
24818400	21.0
24822000	21.0
24825600	21.0
24829200	21.0
24832800	21.0
24836400	21.0
24840000	21.0
24843600	21.0
24847200	21.0
24850800	21.0
24854400	21.0
24858000	21.0
24861600	21.0
24865200	21.0
24868800	17.0
24872400	17.0
